기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20150401053500,85206.0,54682.29,64500.0,30523.71,55.82011,29653.71,54.2291
20150401054000,85206.0,55020.89,64500.0,30185.11,54.86119,29315.11,53.27997
20150401054500,85206.0,55212.45,64500.0,29993.55,54.32389,29123.55,52.74816
20150401055000,85206.0,55256.44,64500.0,29949.56,54.20104,29079.56,52.62656
20150401055500,85206.0,55419.01,64500.0,29786.99,53.74868,28916.99,52.17882
20150401060000,85206.0,55390.31,64500.0,29815.69,53.82834,28945.69,52.25767
20150401060500,85206.0,55521.21,64500.0,29684.78,53.46566,28814.78,51.89869
20150401061000,85206.0,56020.55,64500.0,29185.45,52.09775,28315.45,50.54475
20150401061500,85206.0,56308.17,64500.0,28897.83,51.32085,28027.83,49.77578
20150401062000,85206.0,56279.27,64500.0,28926.73,51.39855,28056.73,49.85269
20150401062500,85206.0,56231.18,64500.0,28974.83,51.52805,28104.83,49.98086
20150401063000,85206.0,56575.29,64500.0,28630.71,50.60638,27760.71,49.06861
20150401063500,85206.0,56960.77,64500.0,28245.23,49.58717,27375.23,48.0598
20150401064000,85206.0,57124.5,64500.0,28081.5,49.15842,27211.5,47.63543
20150401064500,85206.0,57317.92,64500.0,27888.08,48.65509,27018.08,47.13724
20150401065000,85206.0,57410.42,64500.0,27795.58,48.41557,26925.58,46.90017
20150401065500,85206.0,57658.0,64500.0,27548.0,47.77829,26678.0,46.26939
20150401070000,85206.0,58169.22,64500.0,27036.78,46.47953,26166.78,44.98389
20150401070500,85206.0,58408.63,64500.0,26797.37,45.87912,25927.37,44.38962
20150401071000,85206.0,58737.32,64500.0,26468.68,45.0628,25598.68,43.58163
20150401071500,85206.0,59074.93,64500.0,26131.07,44.23376,25261.07,42.76106
20150401072000,85206.0,59306.04,64500.0,25899.96,43.67171,25029.96,42.20474
20150401072500,85206.0,59635.59,64500.0,25570.41,42.87777,24700.41,41.41891
20150401073000,85206.0,59907.85,64500.0,25298.15,42.22844,24428.15,40.77621
20150401073500,85206.0,59917.37,64500.0,25288.63,42.20585,24418.63,40.75385
20150401074000,85206.0,59973.45,64500.0,25232.55,42.07286,24362.55,40.62222
20150401074500,85206.0,60034.21,64500.0,25171.79,41.92908,24301.79,40.4799
20150401075000,85206.0,60406.29,64500.0,24799.71,41.05485,23929.71,39.6146
20150401075500,85206.0,60752.68,64500.0,24453.32,40.25061,23583.32,38.81857
20150401080000,85206.0,60777.78,64500.0,24428.22,40.19268,23558.22,38.76124
20150401080500,85206.0,61469.38,64500.0,23736.63,38.61537,22866.63,37.20003
20150401081000,85206.0,62221.86,64500.0,22984.14,36.939,22114.14,35.54078
20150401081500,85206.0,62276.5,64500.0,22929.5,36.81887,22059.5,35.42187
20150401082000,85206.0,62858.73,64500.0,22347.27,35.55158,21477.27,34.16752
20150401082500,85206.0,63263.32,64500.0,21942.68,34.68468,21072.68,33.30947
20150401083000,85206.0,63631.59,64500.0,21574.41,33.90518,20704.41,32.53793
20150401083500,85206.0,64153.51,64500.0,21052.49,32.8158,20182.49,31.45968
20150401084000,85206.0,64700.0,64500.0,20506.0,31.69398,19636.0,30.34931
20150401084500,85206.0,64974.91,64500.0,20231.09,31.13677,19361.09,29.79779
20150401085000,85206.0,64821.97,64500.0,20384.03,31.44618,19514.03,30.10404
20150401085500,85206.0,64748.46,64500.0,20457.54,31.5954,18369.54,28.37061
20150401090000,85206.0,64983.1,64500.0,20222.9,31.12025,18134.9,27.90711
20150401090500,85206.0,64952.92,64500.0,20253.08,31.18117,18165.08,27.96654
20150401091000,85206.0,64950.84,64500.0,20255.16,31.18537,18167.16,27.97063
20150401091500,85206.0,65060.84,64500.0,20145.16,30.96357,18057.16,27.75427
20150401092000,85206.0,65198.57,64500.0,20007.43,30.68691,17919.43,27.48439
20150401092500,85206.0,65286.53,64500.0,19919.47,30.51084,17831.47,27.31263
20150401093000,85206.0,65381.16,64500.0,19824.84,30.32194,17736.84,27.12836
20150401093500,85206.0,65246.64,64500.0,19959.36,30.59063,17871.36,27.39046
20150401094000,85206.0,65522.11,64500.0,19683.89,30.0416,17595.89,26.85489
20150401094500,85206.0,65609.84,64500.0,19596.15,29.8677,17508.15,26.68525
20150401095000,85206.0,65430.16,64500.0,19775.84,30.22435,17687.84,27.03316
20150401095500,85206.0,65585.75,64500.0,19620.25,29.91541,17532.25,26.73179
20150401100000,85206.0,65441.44,64500.0,19764.56,30.2019,17676.56,27.01126
20150401100500,85206.0,65129.86,64500.0,20076.14,30.82478,17988.14,27.61888
20150401101000,85206.0,65199.56,64500.0,20006.44,30.68493,17918.44,27.48246
20150401101500,85206.0,65221.94,64500.0,19984.06,30.64009,17896.06,27.43871
20150401102000,85206.0,65715.69,64500.0,19490.31,29.65854,17402.31,26.48121
20150401102500,85206.0,65829.69,64500.0,19376.31,29.434,17288.31,26.26218
20150401103000,85206.0,65861.95,64500.0,19344.06,29.37061,17256.06,26.20035
20150401103500,85206.0,65579.64,64500.0,19626.36,29.92752,17517.36,26.71159
20150401104000,85206.0,65711.46,64500.0,19494.54,29.66688,17385.54,26.45739
20150401104500,85206.0,65649.34,64500.0,19556.67,29.78959,17447.67,26.57707
20150401105000,85206.0,65985.04,64500.0,19220.96,29.12928,17111.96,25.9331
20150401105500,85206.0,65713.82,64500.0,19492.18,29.66222,17383.18,26.45285
20150401110000,85206.0,65697.85,64500.0,19508.15,29.69374,17399.15,26.48359
20150401110500,85206.0,65378.68,64500.0,19827.32,30.32688,17718.32,27.10106
20150401111000,85206.0,65569.88,64500.0,19636.13,29.94687,17527.13,26.73046
20150401111500,85206.0,65700.36,64500.0,19505.64,29.68878,17396.64,26.47876
20150401112000,85206.0,65456.21,64500.0,19749.79,30.17252,17640.79,26.95052
20150401112500,85206.0,65694.9,64500.0,19511.1,29.69957,17402.1,26.48928
20150401113000,85206.0,65321.61,64500.0,19884.39,30.44076,17775.39,27.21211
20150401113500,85206.0,65288.14,64500.0,19917.86,30.50762,17808.86,27.27732
20150401114000,85206.0,64789.34,64500.0,20416.66,31.51237,18307.66,28.2572
20150401114500,85206.0,64962.56,64500.0,20243.44,31.1617,18134.44,27.91522
20150401115000,84608.0,64305.43,64500.0,20302.57,31.5721,18193.57,28.29244
20150401115500,84608.0,63548.0,64500.0,21060.0,33.1403,18951.0,29.82155
20150401120000,84608.0,62294.24,64500.0,22313.76,35.81994,20204.76,32.43439
20150401120500,84608.0,61878.11,64500.0,22729.89,36.73332,20620.89,33.32501
20150401121000,84608.0,61702.61,64500.0,22905.39,37.12225,20796.39,33.70424
20150401121500,84608.0,61557.54,64500.0,23050.46,37.44538,20941.46,34.01932
20150401122000,84608.0,61378.38,64500.0,23229.62,37.84658,21120.62,34.41051
20150401122500,84608.0,61021.71,64500.0,23586.29,38.6523,21477.29,35.19615
20150401123000,84608.0,60721.54,64500.0,23886.46,39.3377,21777.46,35.86447
20150401123500,84608.0,60588.55,64500.0,24019.44,39.64353,21910.44,36.16268
20150401124000,84608.0,60430.99,64500.0,24177.01,40.00764,22068.01,36.5177
20150401124500,84608.0,60533.86,64500.0,24074.13,39.7697,21965.13,36.2857
20150401125000,84608.0,60620.13,64500.0,23987.87,39.57079,21878.87,36.09175
20150401125500,84608.0,60667.73,64500.0,23940.27,39.46128,21831.27,35.98497
20150401130000,84608.0,61061.34,64500.0,23546.66,38.5623,21437.66,35.1084
20150401130500,84608.0,61907.4,64500.0,22700.6,36.66864,20591.6,33.26194
20150401131000,84608.0,62465.81,64500.0,22142.19,35.44689,20033.19,32.07064
20150401131500,84608.0,62776.51,64500.0,21831.49,34.77654,19722.49,31.417
20150401132000,84608.0,63046.12,64500.0,21561.88,34.20017,19452.88,30.855
20150401132500,84608.0,63554.67,64500.0,21053.33,33.12633,18944.33,29.80792
20150401133000,84608.0,63734.26,64500.0,20873.74,32.75121,18764.74,29.44215
20150401133500,84608.0,63944.61,64500.0,20663.39,32.31452,18554.39,29.01636
