20170701000000,88297,58859.4,75000,29437.6,50.0135,26401.6,44.8554,
20170701000500,88297,58516.7,75000,29780.3,50.8919,26744.3,45.7037,
20170701001000,86438,58198.8,75000,28239.2,48.522,25203.2,43.3054,
20170701001500,86438,57713,75000,28725,49.7721,25689,44.5116,
20170701002000,86438,57609,75000,28829,50.0425,25793,44.7725,
20170701002500,86438,57273.1,75000,29164.9,50.9226,26128.9,45.6217,
20170701003000,86438,57122.1,75000,29315.9,51.3214,26279.9,46.0064,
20170701003500,86438,56865.9,64200,29572.1,52.0033,26536.1,46.6644,
20170701004000,86438,56471.3,64200,29966.7,53.0654,26930.7,47.6893,
20170701004500,86438,56003.7,64200,30434.3,54.3434,27398.3,48.9223,
20170701005000,86438,55795.6,64200,30642.4,54.919,27606.4,49.4777,
20170701005500,86438,55925.7,64200,30512.3,54.5586,27476.3,49.1299,
20170701010000,86438,55727.5,64200,30710.5,55.1084,27674.5,49.6604,
20170701010500,86438,55511,64200,30927,55.7132,27891,50.244,
20170701011000,86438,55289.4,64200,31148.6,56.3374,28112.6,50.8463,
20170701011500,86438,55127.1,64200,31310.9,56.7975,28274.9,51.2903,
20170701012000,86438,55135.2,64200,31302.8,56.7746,28266.8,51.2682,
20170701012500,86438,54780,64200,31658,57.7911,28622,52.2489,
20170701013000,86438,54817.6,64200,31620.4,57.6829,28584.4,52.1446,
20170701013500,86438,54473.6,64200,31964.4,58.6786,28928.4,53.1053,
20170701014000,86438,54289.2,64200,32148.8,59.2177,29112.8,53.6254,
20170701014500,86438,54397.3,64200,32040.7,58.9013,29004.7,53.3202,
20170701015000,86438,54531.5,64200,31906.5,58.5102,28870.5,52.9428,
20170701015500,86438,54349,64200,32089,59.0426,29053,53.4564,
20170701020000,86438,54281,64200,32157,59.2417,29121,53.6486,
20170701020500,86438,54269.8,64200,32168.2,59.2746,29132.2,53.6803,
20170701021000,86438,54147.9,64200,32290.1,59.6331,29254.1,54.0263,
20170701021500,86438,54374.2,64200,32063.8,58.9688,29027.8,53.3853,
20170701022000,86438,53945.7,64200,32492.3,60.2316,29456.3,54.6037,
20170701022500,86438,54093,64200,32345,59.7951,29309,54.1825,
20170701023000,86438,54060.7,64200,32377.3,59.8905,29341.3,54.2746,
20170701023500,86438,54173.1,64500,32264.9,59.5589,29228.9,53.9547,
20170701024000,86438,53987.6,64500,32450.4,60.1071,29414.4,54.4836,
20170701024500,86438,54086.8,64500,32351.2,59.8135,29315.2,54.2003,
20170701025000,86438,54106.3,64500,32331.7,59.7558,29295.7,54.1446,
20170701025500,86438,54026.4,64500,32411.6,59.9922,29375.6,54.3728,
20170701030000,86438,53915.4,64500,32522.5,60.3214,29486.5,54.6903,
20170701030500,86438,53699.6,64500,32738.4,60.9658,29702.4,55.3121,
20170701031000,86438,53802.7,64500,32635.3,60.6573,29599.3,55.0144,
20170701031500,86438,54012.7,64500,32425.3,60.0327,29389.3,54.4118,
20170701032000,86438,54256.7,64500,32181.3,59.3129,29145.3,53.7173,
20170701032500,86438,54031.8,64500,32406.2,59.9762,29370.2,54.3572,
20170701033000,86438,53904.3,64500,32533.7,60.3545,29497.7,54.7223,
20170701033500,86438,53995.8,64500,32442.2,60.0828,29406.2,54.4602,
20170701034000,86438,54196.5,64500,32241.5,59.4901,29205.5,53.8883,
20170701034500,86438,54238.9,64500,32199.1,59.3652,29163.1,53.7678,
20170701035000,86438,54028.7,64500,32409.3,59.9855,29373.3,54.3662,
20170701035500,86438,53974.6,64500,32463.4,60.1456,29427.4,54.5207,
20170701040000,86438,53747.3,64500,32690.7,60.8231,29654.7,55.1744,
20170701040500,86438,53941.1,64500,32496.9,60.245,29460.9,54.6167,
20170701041000,86438,53978.4,64500,32459.6,60.1343,29423.6,54.5099,
20170701041500,86438,53977.5,64500,32460.5,60.137,29424.5,54.5125,
20170701042000,86438,53931.2,64500,32506.8,60.2745,29470.8,54.6451,
20170701042500,86438,53982.2,64500,32455.8,60.123,29419.8,54.4989,
20170701043000,86438,53863.6,64500,32574.4,60.4758,29538.4,54.8394,
20170701043500,86438,53623.9,64500,32814.1,61.193,29778.1,55.5313,
20170701044000,86438,53879.8,64500,32558.2,60.4274,29522.2,54.7926,
20170701044500,86438,53801.7,64500,32636.3,60.6604,29600.3,55.0174,
20170701045000,86438,53875.9,64500,32562.1,60.4392,29526.1,54.804,
20170701045500,86438,53695.4,64500,32742.6,60.9785,29706.6,55.3243,
20170701050000,86438,53185.5,64500,33252.5,62.5216,30216.5,56.8133,
20170701050500,86438,53659.3,64500,32778.7,61.0867,29742.7,55.4287,
20170701051000,86438,53968.5,64500,32469.5,60.1638,29433.5,54.5383,
20170701051500,86438,54192.5,64500,32245.5,59.5017,29209.5,53.8994,
20170701052000,86438,54230.2,64500,32207.8,59.3909,29171.8,53.7925,
20170701052500,86438,54497.6,64500,31940.4,58.6087,28904.4,53.0378,
20170701053000,86438,54483.3,64500,31954.7,58.6505,28918.7,53.0782,
20170701053500,86438,54561.3,64500,31876.7,58.4237,28840.7,52.8593,
20170701054000,86438,54724.9,64500,31713.1,57.9501,28677.1,52.4024,
20170701054500,86438,54487.1,64500,31950.9,58.6393,28914.9,53.0673,
20170701055000,86438,54596,64500,31842,58.323,28806,52.7622,
20170701055500,86438,54790.9,64500,31647.1,57.7599,28611.1,52.2188,
20170701060000,86438,55012.4,64500,31425.6,57.1245,28389.6,51.6057,
20170701060500,86438,55052,64500,31386,57.0116,28350,51.4968,
20170701061000,86438,54825.4,64500,31612.6,57.6605,28576.6,52.1229,
