기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20121201000000,75455.0,61673.82,69500.0,13781.18,22.34526,10258.18,16.63295
20121201000500,75455.0,61360.87,60800.0,14094.13,22.96925,10571.13,17.22781
20121201001000,75455.0,60701.27,60800.0,14753.74,24.30548,11230.74,18.50165
20121201001500,72768.0,60692.77,60800.0,12075.23,19.89566,8552.229,14.09102
20121201002000,72768.0,60072.67,60800.0,12695.33,21.13329,9172.33,15.26872
20121201002500,72768.0,59976.81,60800.0,12791.19,21.3269,9268.191,15.45296
20121201003000,72768.0,59663.67,60800.0,13104.33,21.96366,9581.328,16.0589
20121201003500,72768.0,59481.34,60800.0,13286.66,22.33752,9763.659,16.41466
20121201004000,72768.0,59114.03,60800.0,13653.97,23.09768,10130.97,17.13801
20121201004500,72768.0,58780.12,60800.0,13987.88,23.79695,10464.88,17.80343
20121201005000,72768.0,58741.1,60800.0,14026.9,23.8792,10503.9,17.88169
20121201005500,72768.0,58737.82,60800.0,14030.18,23.88611,10507.18,17.88827
20121201010000,72768.0,58301.37,60800.0,14466.63,24.81354,10943.63,18.7708
20121201010500,72768.0,58345.27,60800.0,14422.73,24.71963,10899.73,18.68144
20121201011000,72768.0,58072.14,60800.0,14695.85,25.3062,11172.85,19.23961
20121201011500,72768.0,58040.66,60800.0,14727.34,25.37417,11204.34,19.30429
20121201012000,72768.0,57951.9,60800.0,14816.1,25.5662,11293.1,19.48702
20121201012500,72768.0,57811.13,60800.0,14956.87,25.87196,11433.87,19.77798
20121201013000,72768.0,57609.71,60800.0,15158.29,26.31204,11635.29,20.19675
20121201013500,72768.0,57620.65,60800.0,15147.35,26.28806,11624.35,20.17393
20121201014000,72768.0,57359.6,60800.0,15408.4,26.8628,11885.4,20.72085
20121201014500,72768.0,57604.77,60800.0,15163.23,26.32286,11640.23,20.20705
20121201015000,72768.0,57385.8,60800.0,15382.2,26.80489,11859.2,20.66574
20121201015500,72768.0,57326.81,60800.0,15441.19,26.93537,11918.19,20.78991
20121201020000,72768.0,57389.77,60800.0,15378.23,26.79612,11855.23,20.6574
20121201020500,72768.0,57455.67,60800.0,15312.33,26.65069,11789.33,20.51901
20121201021000,72768.0,57495.92,60800.0,15272.08,26.56203,11749.08,20.43464
20121201021500,72768.0,57524.81,60800.0,15243.19,26.49846,11720.19,20.37414
20121201022000,72768.0,57610.62,60800.0,15157.38,26.31005,11634.38,20.19485
20121201022500,72768.0,57563.0,60800.0,15205.0,26.41454,11682.0,20.29429
20121201023000,72768.0,57808.59,60800.0,14959.41,25.87748,11436.41,19.78323
20121201023500,72768.0,57698.0,60800.0,15070.0,26.11877,11547.0,20.01284
20121201024000,72768.0,57908.87,60800.0,14859.13,25.65952,11336.13,19.57582
20121201024500,72768.0,57833.51,60800.0,14934.49,25.82325,11411.49,19.73162
20121201025000,72768.0,57960.27,60800.0,14807.73,25.54807,11284.73,19.46977
20121201025500,72768.0,57788.74,60800.0,14979.26,25.92072,11456.26,19.82438
20121201030000,72768.0,57691.13,60800.0,15076.88,26.13379,11553.88,20.02713
20121201030500,72768.0,57827.58,60800.0,14940.42,25.83614,11417.42,19.74389
20121201031000,72768.0,57924.05,60800.0,14843.95,25.62658,11320.95,19.54448
20121201031500,72768.0,57697.51,60800.0,15070.49,26.11983,11547.49,20.01385
20121201032000,72768.0,57699.04,60800.0,15068.96,26.11648,11545.96,20.01065
20121201032500,72768.0,58050.57,60800.0,14717.43,25.35277,11194.43,19.28393
20121201033000,72768.0,57955.13,60800.0,14812.87,25.55921,11289.87,19.48037
20121201033500,72768.0,57823.94,60800.0,14944.06,25.84408,11421.06,19.75144
20121201034000,72768.0,57717.66,60800.0,15050.34,26.0758,11527.34,19.97195
20121201034500,72768.0,57857.93,60800.0,14910.08,25.77015,11387.08,19.6811
20121201035000,72768.0,57734.65,60800.0,15033.35,26.0387,11510.35,19.93665
20121201035500,72768.0,58044.61,60800.0,14723.4,25.36566,11200.4,19.29619
20121201040000,72768.0,57781.11,60800.0,14986.89,25.93736,11463.89,19.84021
20121201040500,72768.0,57752.02,60800.0,15015.98,26.0008,11492.98,19.90058
20121201041000,72768.0,57739.07,60800.0,15028.93,26.02905,11505.93,19.92746
20121201041500,72768.0,57718.29,60800.0,15049.71,26.07442,11526.71,19.97064
20121201042000,72768.0,57921.16,60800.0,14846.84,25.63284,11323.84,19.55044
20121201042500,72768.0,58204.3,60800.0,14563.7,25.02169,11040.7,18.96887
20121201043000,72768.0,57977.59,60800.0,14790.41,25.51057,11267.41,19.43409
20121201043500,72768.0,57810.51,60800.0,14957.49,25.8733,11434.49,19.77925
20121201044000,72768.0,58022.9,60800.0,14745.1,25.41256,11222.1,19.34082
20121201044500,72768.0,58144.56,60800.0,14623.44,25.15014,11100.44,19.0911
20121201045000,72768.0,57837.66,60800.0,14930.34,25.81422,11407.34,19.72303
20121201045500,72768.0,58204.78,60800.0,14563.22,25.02067,11040.22,18.9679
20121201050000,72768.0,58284.65,60800.0,14483.35,24.84934,10960.35,18.80486
20121201050500,72768.0,58164.02,60800.0,14603.98,25.10827,11080.98,19.05126
20121201051000,72768.0,58094.41,60800.0,14673.58,25.25817,11150.58,19.1939
20121201051500,72768.0,58084.05,60800.0,14683.95,25.28052,11160.95,19.21517
20121201052000,72768.0,58114.92,60800.0,14653.08,25.21398,11130.08,19.15185
20121201052500,72768.0,58254.57,60800.0,14513.43,24.91381,10990.43,18.86622
20121201053000,72768.0,57961.7,60800.0,14806.3,25.54498,11283.3,19.46683
