지점,일시,기온(°C),풍속(m/s),현지기압(hPa),습도(%),일사(MJ/m^2)
108,2012-11-18 00:01,1.5,2.1,1009.9,58.4,0
108,2012-11-18 00:02,1.5,2.3,1009.9,58.5,0
108,2012-11-18 00:03,1.5,1.6,1009.9,58.5,0
108,2012-11-18 00:04,1.6,1.6,1009.9,58.5,0
108,2012-11-18 00:05,1.6,.8,1009.9,58.7,0
108,2012-11-18 00:06,1.6,1.1,1009.9,58.4,0
108,2012-11-18 00:07,1.6,1.3,1009.8,58.4,0
108,2012-11-18 00:08,1.5,1.4,1009.8,58.4,0
108,2012-11-18 00:09,1.5,1.4,1009.8,58.7,0
108,2012-11-18 00:10,1.5,.9,1009.8,58.8,0
108,2012-11-18 00:11,1.5,.6,1009.8,59.3,0
108,2012-11-18 00:12,1.5,.1,1009.8,59.9,0
108,2012-11-18 00:13,1.5,.9,1009.9,59.2,0
108,2012-11-18 00:14,1.5,.6,1009.9,58.8,0
108,2012-11-18 00:15,1.5,1,1009.9,59.1,0
108,2012-11-18 00:16,1.5,.9,1009.9,59.6,0
108,2012-11-18 00:17,1.5,1,1009.9,59.7,0
108,2012-11-18 00:18,1.5,1.7,1009.9,58.9,0
108,2012-11-18 00:19,1.5,1.7,1009.9,59,0
108,2012-11-18 00:20,1.4,1.5,1009.9,59,0
108,2012-11-18 00:21,1.4,1.3,1009.9,59,0
108,2012-11-18 00:22,1.4,1.5,1009.9,58.8,0
108,2012-11-18 00:23,1.4,.7,1009.9,59.1,0
108,2012-11-18 00:24,1.4,.3,1010,59.5,0
108,2012-11-18 00:25,1.4,.2,1010.1,59.6,0
108,2012-11-18 00:26,1.4,.4,1010.1,59.9,0
108,2012-11-18 00:27,1.4,.3,1010.1,59.9,0
108,2012-11-18 00:28,1.4,.4,1010.1,59.9,0
108,2012-11-18 00:29,1.4,.8,1010.1,60,0
108,2012-11-18 00:30,1.4,.4,1010.1,60.1,0
108,2012-11-18 00:31,1.4,0,1010.1,60.1,0
108,2012-11-18 00:32,1.4,.3,1010.1,60,0
108,2012-11-18 00:33,1.3,.5,1010.1,60.4,0
108,2012-11-18 00:34,1.3,1.2,1010.1,60.2,0
108,2012-11-18 00:35,1.3,1.1,1010.1,59.6,0
108,2012-11-18 00:36,1.3,.5,1010.1,59.3,0
108,2012-11-18 00:37,1.3,.7,1010,59.5,0
108,2012-11-18 00:38,1.2,.7,1010.1,59.8,0
108,2012-11-18 00:39,1.2,.6,1010.1,60.2,0
108,2012-11-18 00:40,1.2,.4,1010.1,60.3,0
108,2012-11-18 00:41,1.2,.1,1010.1,60.3,0
108,2012-11-18 00:42,1.3,.2,1010.1,60.1,0
108,2012-11-18 00:43,1.3,0,1010.2,60.1,0
108,2012-11-18 00:44,1.3,.2,1010.2,60.3,0
108,2012-11-18 00:45,1.3,.2,1010.2,60.7,0
108,2012-11-18 00:46,1.2,1,1010.2,60.8,0
108,2012-11-18 00:47,1.2,1.2,1010.3,60.9,0
108,2012-11-18 00:48,1.2,1.5,1010.3,60.7,0
108,2012-11-18 00:49,1.2,1.8,1010.2,60.5,0
108,2012-11-18 00:50,1.2,1.8,1010.2,60,0
108,2012-11-18 00:51,1.2,1.3,1010.2,59.7,0
108,2012-11-18 00:52,1.2,1.3,1010.2,60.1,0
108,2012-11-18 00:53,1.2,1.3,1010.2,60.5,0
108,2012-11-18 00:54,1.2,.8,1010.2,60.8,0
108,2012-11-18 00:55,1.2,1.6,1010.2,60,0
108,2012-11-18 00:56,1.3,.7,1010.1,59.4,0
108,2012-11-18 00:57,1.3,.4,1010.1,59.5,0
108,2012-11-18 00:58,1.3,1,1010.1,59.5,0
108,2012-11-18 00:59,1.3,.7,1010.1,59.3,0
108,2012-11-18 01:00,1.4,.7,1010.2,59.3,0
108,2012-11-18 01:01,1.4,1.1,1010.1,59.2,0
108,2012-11-18 01:02,1.4,.8,1010.1,59.1,0
108,2012-11-18 01:03,1.4,.4,1010.1,59.1,0
108,2012-11-18 01:04,1.4,.4,1010.1,59,0
108,2012-11-18 01:05,1.4,.5,1010.1,59.5,0
108,2012-11-18 01:06,1.4,.3,1010.1,60.7,0
108,2012-11-18 01:07,1.4,.7,1010.1,60,0
108,2012-11-18 01:08,1.4,.4,1010.1,60.2,0
108,2012-11-18 01:09,1.4,.2,1010.1,60.9,0
108,2012-11-18 01:10,1.3,.2,1010.1,61.1,0
108,2012-11-18 01:11,1.3,.3,1010.1,60.7,0
108,2012-11-18 01:12,1.2,.3,1010.1,60.9,0
108,2012-11-18 01:13,1.2,.4,1010.1,61.3,0
108,2012-11-18 01:14,1.1,1.2,1010.1,61.2,0
108,2012-11-18 01:15,1.1,1.3,1010.1,61.4,0
108,2012-11-18 01:16,1.1,1.5,1010.1,61,0
108,2012-11-18 01:17,1.2,1.1,1010.1,60.7,0
108,2012-11-18 01:18,1.2,1.2,1010.1,60.8,0
108,2012-11-18 01:19,1.2,1.1,1010.1,61.1,0
108,2012-11-18 01:20,1.1,.8,1010.1,61.4,0
108,2012-11-18 01:21,1.1,.5,1010.1,61.3,0
108,2012-11-18 01:22,1.2,1.3,1010.1,61.8,0
108,2012-11-18 01:23,1.2,.9,1010.1,61.7,0
108,2012-11-18 01:24,1.2,.7,1010.1,61.4,0
108,2012-11-18 01:25,1.2,.3,1010.1,60.7,0
108,2012-11-18 01:26,1.2,.2,1010.1,60.8,0
108,2012-11-18 01:27,1.2,.4,1010.1,60.8,0
108,2012-11-18 01:28,1.2,.3,1010,60.9,0
