지점,일시,기온(°C),풍속(m/s),현지기압(hPa),습도(%),일사(MJ/m^2)
108,2013-03-12 00:01,3.8,1.3,1011.6,51.9,0
108,2013-03-12 00:02,3.8,1.4,1011.6,52.3,0
108,2013-03-12 00:03,3.7,1.5,1011.6,52.4,0
108,2013-03-12 00:04,3.7,1.5,1011.6,52.4,0
108,2013-03-12 00:05,3.7,1.7,1011.6,52.5,0
108,2013-03-12 00:06,3.6,1.7,1011.6,53.1,0
108,2013-03-12 00:07,3.6,1.7,1011.6,53.7,0
108,2013-03-12 00:08,3.6,1.8,1011.6,53.2,0
108,2013-03-12 00:09,3.6,1.6,1011.6,53,0
108,2013-03-12 00:10,3.7,2.2,1011.6,52.7,0
108,2013-03-12 00:11,3.7,2.1,1011.6,52.5,0
108,2013-03-12 00:12,3.7,1.9,1011.6,52.7,0
108,2013-03-12 00:13,3.7,1.8,1011.6,52.9,0
108,2013-03-12 00:14,3.7,1.9,1011.6,53.1,0
108,2013-03-12 00:15,3.6,2.1,1011.6,53.4,0
108,2013-03-12 00:16,3.6,1.9,1011.6,53.4,0
108,2013-03-12 00:17,3.6,1.7,1011.5,53.3,0
108,2013-03-12 00:18,3.6,1.5,1011.5,53.4,0
108,2013-03-12 00:19,3.6,1.3,1011.5,53.3,0
108,2013-03-12 00:20,3.6,1,1011.4,53.2,0
108,2013-03-12 00:21,3.6,1.2,1011.5,53.1,0
108,2013-03-12 00:22,3.6,1.1,1011.5,53.2,0
108,2013-03-12 00:23,3.6,.7,1011.5,53.5,0
108,2013-03-12 00:24,3.5,.7,1011.5,53.9,0
108,2013-03-12 00:25,3.5,.8,1011.5,54.3,0
108,2013-03-12 00:26,3.5,1,1011.5,54.5,0
108,2013-03-12 00:27,3.4,.9,1011.5,54.6,0
108,2013-03-12 00:28,3.4,.8,1011.5,54.7,0
108,2013-03-12 00:29,3.4,.8,1011.4,54.8,0
108,2013-03-12 00:30,3.4,.9,1011.4,54.7,0
108,2013-03-12 00:31,3.4,.8,1011.4,54.9,0
108,2013-03-12 00:32,3.3,.8,1011.4,54.9,0
108,2013-03-12 00:33,3.3,.7,1011.4,55.3,0
108,2013-03-12 00:34,3.3,.8,1011.3,55.4,0
108,2013-03-12 00:35,3.3,.7,1011.3,55.3,0
108,2013-03-12 00:36,3.3,.7,1011.3,55.2,0
108,2013-03-12 00:37,3.3,.5,1011.4,55.2,0
108,2013-03-12 00:38,3.3,.7,1011.4,55.4,0
108,2013-03-12 00:39,3.3,.6,1011.4,55.7,0
108,2013-03-12 00:40,3.3,.4,1011.4,55.9,0
108,2013-03-12 00:41,3.3,.3,1011.4,56.1,0
108,2013-03-12 00:42,3.2,.8,1011.3,56.2,0
108,2013-03-12 00:43,3.2,1.3,1011.4,56.2,0
108,2013-03-12 00:44,3.2,1.4,1011.4,56.6,0
108,2013-03-12 00:45,3.1,1,1011.5,56.9,0
108,2013-03-12 00:46,3.1,1,1011.5,57.1,0
108,2013-03-12 00:47,3.1,1.4,1011.4,57,0
108,2013-03-12 00:48,3.1,1.7,1011.4,56.6,0
108,2013-03-12 00:49,3.1,1.2,1011.5,56.4,0
108,2013-03-12 00:50,3.1,.8,1011.5,56.3,0
108,2013-03-12 00:51,3.1,.1,1011.5,56,0
108,2013-03-12 00:52,3.1,0,1011.5,55.5,0
108,2013-03-12 00:53,3.1,0,1011.5,55,0
108,2013-03-12 00:54,3.2,0,1011.5,54.5,0
108,2013-03-12 00:55,3.2,0,1011.5,54.9,0
108,2013-03-12 00:56,3.2,0,1011.5,55.8,0
108,2013-03-12 00:57,3.1,0,1011.5,55.8,0
108,2013-03-12 00:58,3.1,0,1011.5,56.1,0
108,2013-03-12 00:59,3,0,1011.5,56.4,0
108,2013-03-12 01:00,3,0,1011.4,57,0
108,2013-03-12 01:01,3,0,1011.5,57,0
108,2013-03-12 01:02,3,0,1011.5,57.1,0
108,2013-03-12 01:03,2.9,0,1011.5,57.3,0
108,2013-03-12 01:04,2.9,0,1011.5,57.4,0
108,2013-03-12 01:05,2.9,.3,1011.5,57.5,0
108,2013-03-12 01:06,3,.3,1011.5,57.2,0
108,2013-03-12 01:07,3,0,1011.5,57,0
108,2013-03-12 01:08,3,.1,1011.4,57.2,0
108,2013-03-12 01:09,3.1,0,1011.4,56.5,0
108,2013-03-12 01:10,3.1,.2,1011.4,56,0
108,2013-03-12 01:11,3.2,.3,1011.4,56,0
108,2013-03-12 01:12,3.2,.1,1011.4,55.3,0
108,2013-03-12 01:13,3.2,.4,1011.4,55.2,0
108,2013-03-12 01:14,3.2,.6,1011.4,55.8,0
108,2013-03-12 01:15,3.2,.7,1011.4,56.2,0
108,2013-03-12 01:16,3.1,.8,1011.4,56.8,0
108,2013-03-12 01:17,3.1,.7,1011.5,57.2,0
108,2013-03-12 01:18,3,.7,1011.5,57.6,0
108,2013-03-12 01:19,3,.6,1011.5,57.9,0
108,2013-03-12 01:20,3,.5,1011.5,58.1,0
108,2013-03-12 01:21,3,.5,1011.5,58.4,0
108,2013-03-12 01:22,2.9,.4,1011.5,58.3,0
108,2013-03-12 01:23,2.9,.4,1011.6,58,0
108,2013-03-12 01:24,2.8,.4,1011.6,58.4,0
108,2013-03-12 01:25,2.8,.5,1011.6,58.2,0
108,2013-03-12 01:26,2.8,.3,1011.6,57.8,0
108,2013-03-12 01:27,2.8,.3,1011.6,57.7,0
108,2013-03-12 01:28,2.7,.5,1011.5,57.4,0
108,2013-03-12 01:29,2.7,.7,1011.5,58.1,0
108,2013-03-12 01:30,2.8,.6,1011.5,58.2,0
108,2013-03-12 01:31,2.8,.5,1011.5,57.5,0
108,2013-03-12 01:32,2.9,.4,1011.5,57.6,0
108,2013-03-12 01:33,2.8,.3,1011.5,58.1,0
108,2013-03-12 01:34,2.8,.2,1011.5,58.3,0
108,2013-03-12 01:35,2.9,.3,1011.5,58.5,0
108,2013-03-12 01:36,2.9,.1,1011.5,58.5,0
108,2013-03-12 01:37,2.8,0,1011.5,58.5,0
108,2013-03-12 01:38,2.8,0,1011.4,58.3,0
108,2013-03-12 01:39,2.7,0,1011.4,57.8,0
108,2013-03-12 01:40,2.7,.1,1011.4,57.6,0
108,2013-03-12 01:41,2.7,.3,1011.4,57.9,0
108,2013-03-12 01:42,2.8,.4,1011.4,58,0
108,2013-03-12 01:43,2.7,.5,1011.5,58.3,0
108,2013-03-12 01:44,2.7,.5,1011.5,57.7,0
108,2013-03-12 01:45,2.7,.6,1011.4,57.4,0
108,2013-03-12 01:46,2.7,.6,1011.4,57.6,0
108,2013-03-12 01:47,2.7,.6,1011.5,57.2,0
108,2013-03-12 01:48,2.7,.5,1011.5,57.1,0
108,2013-03-12 01:49,2.7,.6,1011.4,56.6,0
108,2013-03-12 01:50,2.7,.5,1011.4,56.5,0
108,2013-03-12 01:51,2.7,.5,1011.4,56.4,0
108,2013-03-12 01:52,2.7,.4,1011.4,56.3,0
108,2013-03-12 01:53,2.7,.2,1011.4,56.7,0
108,2013-03-12 01:54,2.8,.2,1011.4,57,0
108,2013-03-12 01:55,2.9,.5,1011.4,57.2,0
108,2013-03-12 01:56,2.9,.6,1011.4,56.8,0
108,2013-03-12 01:57,3,.6,1011.4,56.9,0
108,2013-03-12 01:58,3,.5,1011.4,57.3,0
