년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,3,15,3,0,5.7,-0.4,11,2.9,62.5,5.7,14.51,49855
2006,3,16,4,0,4.1,3,6.9,2.1,87.4,7.3,1.75,50652
2006,3,17,5,0,8.8,3.2,15.1,1.5,67.3,7.5,12.5,49169
2006,3,18,6,1,9,3.7,13.1,3.1,50.1,6,12.38,46276
2006,3,19,7,1,4.3,0.8,8.8,3.1,31.5,2.6,21.02,44031
2006,3,20,1,0,5.1,0.6,8.5,1.9,48.8,4.3,8.86,49531
2006,3,21,2,0,9.7,2.9,16.2,1.5,36.3,4,17.91,48644
2006,3,22,3,0,10.3,6,17.2,3.1,48.6,6.1,12.38,48516
2006,3,23,4,0,6.3,3,10.8,4,42.6,3.9,20.76,49229
2006,3,24,5,0,6.2,0.8,12,2.4,29.4,2.7,19.86,48988
2006,3,25,6,1,8.9,4.4,14.8,4.2,48.6,5.6,15.3,45443
2006,3,26,7,1,6.5,1.8,11.8,2.9,24,2.3,19.28,43207
2006,3,27,1,0,6.8,2.9,12.1,2.7,42.5,4.1,17.52,48572
2006,3,28,2,0,2.9,1,4.9,4.1,51.6,3.9,9.78,50152
2006,3,29,3,0,3.8,-0.3,7.1,3.9,48.1,3.9,14.15,49664
2006,3,30,4,0,4.4,0.2,9.3,3.3,41.5,3.3,22.55,49548
2006,3,31,5,0,8.1,1.1,14.1,1.7,31.6,3.3,17.35,48661
2006,4,1,6,1,9.7,7.5,11.6,2.5,70.5,8.6,1.58,45353
2006,4,2,7,1,7.4,5.3,11.1,3.9,83.5,8.7,4.42,43108
2006,4,3,1,0,11.4,4.3,18.7,2.3,64.9,8.6,18.57,47881
2006,4,4,2,0,12,10.8,14.5,2.1,63.6,9.1,4.9,48148
2006,4,5,3,0,11.6,7.3,17.5,2.6,46.4,6.1,20.85,47677
2006,4,6,4,0,9.7,5.6,13,2.3,49,6,8.21,48343
2006,4,7,5,0,10.2,7.9,13.3,4.6,66.4,8.3,12.49,47859
2006,4,8,6,1,10.2,6.6,14.1,2.9,40,4.8,15.26,44628
2006,4,9,7,1,15.2,8.8,21.7,2.7,46.1,8.1,11.75,41987
2006,4,10,1,0,14.7,11.6,18.6,3.6,68.4,11.4,12.44,47305
2006,4,11,2,0,16.4,13.1,22.2,3.9,53.5,10,14.83,47262
2006,4,12,3,0,15,11,21.2,2.5,58,9.9,18.91,47009
2006,4,13,4,0,9.7,7.8,12,2.4,58.5,7.1,6.52,48092
2006,4,14,5,0,12.7,6.6,18.8,2,38.4,5.3,21.46,47119
2006,4,15,6,1,12,8.8,16.2,2.1,32.1,4.4,10.93,44773
2006,4,16,7,1,7.4,2.9,12.6,4.5,34.3,3.3,26.23,42241
2006,4,17,1,0,10.3,4.6,14.3,3.5,45.3,5.7,8.98,47487
2006,4,18,2,0,14.6,12.1,17.7,3.7,52.9,8.9,5.2,46875
2006,4,19,3,0,8.8,3.2,16.6,4.6,84.8,10.1,1.97,48325
2006,4,20,4,0,7.3,3.2,9.3,5.1,58.1,5.9,7.53,48484
2006,4,21,5,0,10.6,5.5,16.7,3.3,46.5,5.8,24.8,47257
2006,4,22,6,1,11.8,8,17.2,2.5,45.1,6.1,20.58,44708
2006,4,23,7,1,9.2,7.1,13.1,3,74.9,8.8,6.89,42621
2006,4,24,1,0,10.4,5.9,15.3,3.7,51.3,6.2,21.28,47670
2006,4,25,2,0,11.3,6.1,16.5,2.5,33.6,4.4,24.14,47495
2006,4,26,3,0,12,8.3,16.7,2.1,43.6,6.1,10.36,47142
2006,4,27,4,0,12.3,9.1,18.7,3,62.9,8.8,22.18,46994
2006,4,28,5,0,12.8,7.5,18.5,2.1,49.6,7,18.7,46540
2006,4,29,6,1,13.9,10.8,17.7,2.3,53.5,8.7,17.49,43444
2006,4,30,7,1,15.9,12.6,20.1,2.9,70.1,12.9,7.76,40358
2006,5,1,1,0,18,12.6,23.8,1.6,46.9,9,17.73,41441
2006,5,2,2,0,17.2,12.8,23.7,4.6,31.6,6,26.55,45519
2006,5,3,3,0,15.7,10.8,21.2,3,42.3,7.5,23.06,45899
2006,5,4,4,0,17.7,11.3,24.7,2.5,53.1,10.3,20.66,45065
2006,5,5,5,1,20.7,18.1,23.6,1.8,66.1,16.3,6.73,41910
2006,5,6,6,1,15.1,13.5,18.8,3.9,89.4,15.7,1.86,41850
2006,5,7,7,1,19.7,12.3,26.5,2.2,57.8,13,24.97,39613
2006,5,8,1,0,21,15.6,26.7,2.8,52.8,12.9,26.93,45387
2006,5,9,2,0,21.3,15.8,27.6,2.4,55.5,13.8,24.64,46201
2006,5,10,3,0,18.2,16,20.2,2.1,74.6,15.9,6.84,45518
2006,5,11,4,0,18.9,13.5,24.2,2.1,44.6,9.4,21.66,46062
2006,5,12,5,0,16.8,15.1,18.8,1.7,44.6,8.7,5.74,46146
2006,5,13,6,1,15.2,12.3,19,3.1,52.5,9,18.16,42908
2006,5,14,7,1,16,10.8,21.5,2.8,53.8,9.3,25.15,40419
2006,5,15,1,0,18.6,11.3,25,2.2,44.4,8.9,25.95,45423
2006,5,16,2,0,18.8,13.8,24.7,2.5,41.9,8.6,25.97,45839
2006,5,17,3,0,18.8,13.1,24.6,1.9,44.1,9.3,21.2,45574
2006,5,18,4,0,20.2,15.3,24.8,1.5,46.6,10.9,15.66,46043
2006,5,19,5,0,17.9,16,20.2,1.9,57.5,12,6.59,45587
2006,5,20,6,1,18.2,13,24.7,2.4,63.3,12.9,22.6,42230
2006,5,21,7,1,22.5,15.3,28.3,2.6,49.8,13.4,19.97,39744
