년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,0.84150635095,0.79651482289,0.75,1,0.33402061787,0.3850931669,0.24850894583,0.13235293923,0.75344180131,0.1523809519,0.047410894259,0.21755982197
2006,0.84150635095,0.83007052518,0.85133032108,0,0.30927834988,0.32298136579,0.29025844873,0.30882352487,0.64580725827,0.12063492025,0.24176193597,0.30570382171
2006,0.84150635095,0.84920056167,0.68810174456,0,0.25567010257,0.27950310501,0.23658051643,0.32352940701,0.2202753439,0.03492063481,0.31506388596,0.34277127231
2006,0.84150635095,0.85306885796,0.3832287178,0,0.17731958726,0.20082815693,0.1252485087,0.30882352487,0.28410513106,0.028571428481,0.15601882933,0.36379313176
2006,0.84150635095,0.84150635095,0.16628684824,0,0.15876288627,0.16563146964,0.16302186846,0.26470587846,0.24655819744,0.019047618987,0.32279757793,0.37154494244
2006,0.84150635095,0.81501837767,0.20063778847,0,0.15051546361,0.16356107627,0.13518886653,0.30882352487,0.30287859787,0.022222222152,0.30598520408,0.36839166352
2006,0.84150635095,0.77476258966,0.46041457985,1,0.17731958726,0.17391304312,0.17693836943,0.23529411419,0.2340425529,0.022222222152,0.33322124972,0.32897567705
2006,0.84150635095,0.72249835803,0.75,1,0.21855670058,0.19668737019,0.2206759439,0.10294117496,0.30788485568,0.03492063481,0.29757901716,0.29064363021
2006,0.84150635095,0.66050988048,0.85133032108,0,0.27216494789,0.22774327075,0.27236580463,0.14705882137,0.47058823471,0.076190475949,0.25958305225,0.35618913104
2006,0.84150635095,0.59150635095,0.68810174456,0,0.29896907155,0.32712215253,0.26043737523,0.19117646778,0.65832290281,0.11428571392,0.22461331464,0.34695922088
2006,0.84150635095,0.51850355478,0.3832287178,0,0.28041237056,0.26293995805,0.28230616246,0.11764705709,0.32415519359,0.053968253797,0.26798923918,0.34416725517
2006,0.84150635095,0.44469206448,0.16628684824,0,0.33402061787,0.32298136579,0.30218687813,0.36764705342,0.36295369166,0.082539682278,0.14021519791,0.34331324213
2006,0.84150635095,0.37329779636,0.20063778847,0,0.38969072085,0.40993788735,0.33200795163,0.26470587846,0.91864830924,0.22539682468,0.020847343575,0.32780962078
2006,0.84150635095,0.30744102252,0.46041457985,1,0.39587628784,0.40786749398,0.39761431332,0.13235293923,0.6558197739,0.16825396772,0.2501681229,0.2734976761
2006,0.84150635095,0.25,0.75,1,0.38144329818,0.38923395365,0.36182902513,0.19117646778,0.62828535591,0.15873015823,0.21183591052,0.23682438536
2006,0.84150635095,0.20348517711,0.85133032108,0,0.34226804053,0.36853001994,0.29025844873,0.11764705709,0.60325406683,0.13015872975,0.086079354115,0.33434610521
2006,0.84150635095,0.16992947482,0.68810174456,0,0.3319587622,0.34782608624,0.30815109283,0.14705882137,0.38297872292,0.085714285442,0.19838601144,0.32629867464
2006,0.84150635095,0.15079943833,0.3832287178,0,0.3319587622,0.33747411938,0.32206759379,0.14705882137,0.4380475589,0.095238094936,0.26563550684,0.32700487773
2006,0.84150635095,0.14693114204,0.16628684824,0,0.35463917453,0.33954451275,0.34990059573,0.22058823205,0.45056320344,0.10476190443,0.2969065222,0.32656144788
2006,0.84150635095,0.15849364905,0.20063778847,0,0.35876288586,0.37681159342,0.34194830946,0.20588234991,0.44555694563,0.10793650759,0.24613315317,0.3208789765
2006,0.84150635095,0.18498162233,0.46041457985,1,0.32371133954,0.32712215253,0.31411530753,0.19117646778,0.36420525611,0.076190475949,0.31909885569,0.28798305113
2006,0.84150635095,0.22523741034,0.75,1,0.2412371129,0.24844720445,0.20079522823,0.39705881769,0.23904881071,0.03492063481,0.38433086623,0.25881522114
2006,0.84150635095,0.27750164197,0.85133032108,0,0.20824742225,0.20703933705,0.20477137136,0.2794117606,0.31914893577,0.038095237974,0.39038332081,0.34623659446
2006,0.84150635095,0.33949011952,0.68810174456,0,0.2412371129,0.21532091053,0.24652087426,0.17647058564,0.2828535666,0.038095237974,0.3846671137,0.35162344594
2006,0.84150635095,0.40849364905,0.3832287178,0,0.29072164889,0.27950310501,0.27634194776,0.14705882137,0.34418022485,0.063492063291,0.25252185524,0.3449555749
